"captures","censored","tags"
"00000000000000000000000BA000000000000000","1","221"
"A000000000000000000A0A000000000000000000","1","24"
"00000000000000000000000AA0A0AAAA000AAAAA","1","214"
"0000000000000000000AAAAAAAA0AAAA000A0000","1","164"
"000000A000000000000000000000000000000000","1","98"
"000000000000000000000000A000000000000000","1","237"
"00000000000000AAAA0000000000000000000000","1","134"
"0000000000000000000000000000A00000000000","1","264"
"0AAAAAA000000000000000000000000000000000","1","44"
"00000000000000000000000000A0AA0000000000","1","252"
"AA00000000000000000000000000000000000000","1","21"
"00000000000000000000AAA00000000000000000","1","180"
"0000000000000000000000000000000A00000AAA","1","281"
"000000000000000000000000000000000000000A","1","315"
"00000000000000000000A0000000000000000000","1","181"
"0AAAAAAAAAAAA000000000000000000000000000","1","34"
"00000000000000000000000000000AAA000AAAA0","1","268"
"AA0000000000000000A0A00A0000000000000000","1","22"
"000000000000A000A0AAAAA00000000000000000","1","130"
"00000000000000000000AAAAA000000000000000","1","182"
"000000AAAAAAAA00000000000000000000000000","1","97"
"0000000000000000000A00000000000000000000","1","165"
"A00000000000A0A0000000000000000000000000","1","23"
"00AAAAAA00000000000000000000000000000000","1","60"
"000000AA0000A0A0AA0000000000000000000000","1","96"
"000000000A0A0A00000000000000000000000000","1","112"
"00000000AAAAAAAAAAAAAAA00000000000000000","1","107"
"00000000000AAA00000000000000000000000000","1","121"
"00000000000000000000000000000AAA0000000A","1","267"
"000000000000A000000000000000000000000000","1","131"
"000000000000000000000AA00000000000000000","1","202"
"000AAAAAAA000000000000000000000000000000","1","71"
"0000000000000000000A00000000000000000000","1","162"
"A000000000000000000000000000000000000000","1","25"
"000000000000000000AABAA0AA00000000000000","1","157"
"000000000000000000A000000000000000000000","1","156"
"0000000000000000000A00000000000000000000","1","163"
"000000000BB0BBBBBBB0BBB0AA00000000000000","1","110"
"0000000000000000000000000000000A00000000","1","282"
"0A00000000000000000000000000000000000000","1","45"
"000000000000000000000000A000000000000000","1","240"
"0000000000000000000000A00A00000000000000","1","212"
"0000000A00000000000000000000000000000000","1","106"
"0000000000000000000000000A00000000000000","1","248"
"0000000000000000000A00000000000000000000","1","161"
"0000000000000000000000000000BBBBBBBBB0B0","1","261"
"00000000000000000000BBBBBBBBBB0000000000","1","183"
"0000000000000000000000000000B00000000000","1","260"
"0000000000000000000000000BBBBBBBBBBBBBBB","1","243"
"000BBBBB0BB0BBBBBBB0BBBBBB00BB0000000000","1","65"
"00000000000000000000000BBBBBBBBBBBBBBBBB","1","219"
"0000000000000000B0000000B0000000B0000000","1","143"
"0000000000000000000000000000000000B0B0B0","1","291"
"000000000000000000000000BBBBB00000000000","1","231"
"0B00000000000000000000000000000000000000","1","40"
"00B0BBBB0BB0BB00000000000000000000000000","1","50"
"00000000000000000000B0000000000B0000B0BB","1","184"
"000000000000BB00000000000000000000000000","1","127"
"0BBBBBBB0BB0BBBBBBB0B0000000000000000000","1","32"
"0000BBBB0BB0BBBBB00000000000000000000000","1","76"
"000000000000000000000000000000000BBBB000","1","287"
"000000000000000000000000000B00B000B0B000","1","255"
"00000000000000000000000000000000000BB000","1","295"
"00000000000000000000000000000000000B0000","1","296"
"000000000000000000000000000000000000B000","1","301"
"00BBBBBB00000000000000000000000000000000","1","51"
"00000000000000000000000B0000000000000000","1","218"
"B000000000000000000000000000000000000000","1","7"
"00000000000000000000000B000000000BBB0000","1","220"
"00000000000000000000B0000000000000000000","1","185"
"00000000000000000000000B0000000000BB0000","1","222"
"0000B00000000000000000000000000000000000","1","75"
"00BB00000000B000000000000000000000000000","1","49"
"0B00000000000000000000000000000000000000","1","31"
"0000000000000000B00000000000000000000000","1","142"
"0000000000000000000000000000000000BB0000","1","290"
"000000000000000000000000000B000000000000","1","256"
"000000000000000000000000000B000000000000","1","254"
"000000CC0CC0CCC0CCC0CCCCC00000CCCCCCC000","1","92"
"0000CCCC0CC0CCCCCCC0CCCCCCCCCCCCCCCCCCCC","1","73"
"CC00000000000000000000000000000000000000","1","6"
"000000000000000000C00C00CCC0000000000000","1","152"
"0CCCCCCC00000000000000000000000000000000","1","38"
"CCCCCCCC0CC0CCCCCCC0CCCC0000000000000000","1","5"
"000000000000000000000000000C0CCCCCCCCCC0","1","253"
"00000CCC0000000000C0C0000000000000000000","1","80"
"0000000000000000000000000000CC0000000000","1","258"
"00000000000000000000C000CC00000000000000","1","172"
"00000000000000000000000000C0000000000000","1","249"
"0000000000000000000000CC0000000000000000","1","205"
"000000000000000000C0CCC00000000000000000","1","151"
"000000000000C00C00C0C00C0CC0000000000000","1","124"
"000000000000CC000CC000000000000000000000","1","123"
"000000CC00000000000000000000000000000000","1","93"
"0CCCCCCC00000000000000000000000000000000","1","30"
"0000000000000000000000000C00000000000000","1","242"
"000000000000000000000000000000C000000000","1","277"
"00000CCC00000000000000000000000000000000","1","82"
"00000000000000000000000CC000000000000000","1","216"
"00000000000000000000C0000000000000000000","1","173"
"00000000000000000000C000C000000000000000","1","171"
"00000000000000000000000C0000000000000000","1","217"
"00000C0000000000000000000000000000000000","1","81"
"0000000000000C00000000000000000000000000","1","132"
"000000000000000000000000000000000000000C","1","312"
"00000000000000000000C0000000000000000000","1","170"
"000C000000000000000000000000000000000000","1","64"
"000000000000000000000000CC00000000000000","1","229"
"00000000000000000C0000000C00000000000000","1","146"
"00000000000000000000C0000000000000000000","1","168"
"00000000000000000000C0000000000000000000","1","169"
"000C000000000000000000000000000000000000","1","63"
"000000000000C000000000000000000000000000","1","125"
